time,ecg
0.000000,-0.021438
0.003908,-0.233665
0.007816,-0.370802
0.011723,-0.402848
0.015631,-0.357710
0.019539,-0.295332
0.023447,-0.265660
0.027354,-0.281408
0.031262,-0.320851
0.035170,-0.351927
0.039078,-0.356293
0.042986,-0.337282
0.046893,-0.310943
0.050801,-0.291239
0.054709,-0.281362
0.058617,-0.275323
0.062524,-0.265411
0.066432,-0.248250
0.070340,-0.225523
0.074248,-0.200762
0.078156,-0.176214
0.082063,-0.152421
0.085971,-0.129897
0.089879,-0.110377
0.093787,-0.095927
0.097694,-0.086677
0.101602,-0.079527
0.105510,-0.069425
0.109418,-0.052506
0.113326,-0.028609
0.117233,-0.001137
0.121141,0.025672
0.125049,0.049881
0.128957,0.072936
0.132864,0.097874
0.136772,0.126162
0.140680,0.155764
0.144588,0.182052
0.148496,0.201008
0.152403,0.212351
0.156311,0.220267
0.160219,0.231139
0.164127,0.249839
0.168034,0.277080
0.171942,0.309442
0.175850,0.341694
0.179758,0.369537
0.183665,0.390917
0.187573,0.405495
0.191481,0.413285
0.195389,0.413823
0.199297,0.406294
0.203204,0.390001
0.207112,0.364414
0.211020,0.328765
0.214928,0.281890
0.218835,0.222968
0.222743,0.152985
0.226651,0.075928
0.230559,-0.001400
0.234467,-0.071343
0.238374,-0.128311
0.242282,-0.171010
0.246190,-0.202562
0.250098,-0.228360
0.254005,-0.252955
0.257913,-0.277875
0.261821,-0.301481
0.265729,-0.320641
0.269637,-0.332937
0.273544,-0.338093
0.277452,-0.337994
0.281360,-0.335538
0.285268,-0.333144
0.289175,-0.331783
0.293083,-0.331052
0.296991,-0.330167
0.300899,-0.329127
0.304807,-0.329144
0.308714,-0.331868
0.312622,-0.337914
0.316530,-0.345883
0.320438,-0.352836
0.324345,-0.356043
0.328253,-0.354753
0.332161,-0.350594
0.336069,-0.346240
0.339977,-0.343284
0.343884,-0.340910
0.347792,-0.336387
0.351700,-0.327141
0.355608,-0.312974
0.359515,-0.296785
0.363423,-0.283120
0.367331,-0.275399
0.371239,-0.273714
0.375147,-0.274764
0.379054,-0.274028
0.382962,-0.268720
0.386870,-0.259554
0.390778,-0.250300
0.394685,-0.245561
0.398593,-0.248226
0.402501,-0.258034
0.406409,-0.271832
0.410317,-0.285189
0.414224,-0.294392
0.418132,-0.297897
0.422040,-0.296643
0.425948,-0.293276
0.429855,-0.290759
0.433763,-0.291041
0.437671,-0.294377
0.441579,-0.299546
0.445487,-0.304758
0.449394,-0.308639
0.453302,-0.310696
0.457210,-0.311070
0.461118,-0.309964
0.465025,-0.307342
0.468933,-0.303184
0.472841,-0.297990
0.476749,-0.292982
0.480657,-0.289674
0.484564,-0.289003
0.488472,-0.290637
0.492380,-0.293030
0.496288,-0.294310
0.500195,-0.293459
0.504103,-0.290828
0.508011,-0.287542
0.511919,-0.284192
0.515826,-0.280004
0.519734,-0.273309
0.523642,-0.263084
0.527550,-0.250229
0.531458,-0.237306
0.535365,-0.226714
0.539273,-0.218686
0.543181,-0.210829
0.547089,-0.199758
0.550996,-0.183641
0.554904,-0.163693
0.558812,-0.143482
0.562720,-0.126672
0.566628,-0.115038
0.570535,-0.108363
0.574443,-0.106233
0.578351,-0.110084
0.582259,-0.123392
0.586166,-0.149241
0.590074,-0.186736
0.593982,-0.229123
0.597890,-0.265622
