time,ecg
0.000000,-0.125466
0.003908,-0.147920
0.007816,-0.169955
0.011723,-0.191659
0.015631,-0.213126
0.019539,-0.233231
0.023447,-0.249148
0.027354,-0.257683
0.031262,-0.257888
0.035170,-0.252827
0.039078,-0.248601
0.042986,-0.250696
0.046893,-0.260025
0.050801,-0.271740
0.054709,-0.278114
0.058617,-0.273852
0.062524,-0.260183
0.066432,-0.244750
0.070340,-0.237121
0.074248,-0.242867
0.078156,-0.260110
0.082063,-0.280754
0.085971,-0.295366
0.089879,-0.298412
0.093787,-0.290648
0.097694,-0.277649
0.101602,-0.266024
0.105510,-0.259937
0.109418,-0.259853
0.113326,-0.263603
0.117233,-0.268467
0.121141,-0.272694
0.125049,-0.275718
0.128957,-0.277522
0.132864,-0.278112
0.136772,-0.277673
0.140680,-0.277063
0.144588,-0.277919
0.148496,-0.281945
0.152403,-0.289781
0.156311,-0.300261
0.160219,-0.310673
0.164127,-0.318026
0.168034,-0.320657
0.171942,-0.319281
0.175850,-0.316796
0.179758,-0.316776
0.183665,-0.321401
0.187573,-0.329998
0.191481,-0.339131
0.195389,-0.344319
0.199297,-0.342428
0.203204,-0.333343
0.207112,-0.319878
0.211020,-0.305979
0.214928,-0.294454
0.218835,-0.285825
0.222743,-0.279076
0.226651,-0.273539
0.230559,-0.270232
0.234467,-0.271393
0.238374,-0.278548
0.242282,-0.290740
0.246190,-0.304503
0.250098,-0.315723
0.254005,-0.322001
0.257913,-0.323732
0.261821,-0.323236
0.265729,-0.322805
0.269637,-0.323301
0.273544,-0.324356
0.277452,-0.325760
0.281360,-0.328558
0.285268,-0.334586
0.289175,-0.344589
0.293083,-0.356609
0.296991,-0.366446
0.300899,-0.370403
0.304807,-0.368264
0.308714,-0.363768
0.312622,-0.361619
0.316530,-0.363212
0.320438,-0.364967
0.324345,-0.361429
0.328253,-0.351079
0.332161,-0.339541
0.336069,-0.336179
0.339977,-0.345628
0.343884,-0.361384
0.347792,-0.368515
0.351700,-0.355466
0.355608,-0.325731
0.359515,-0.297140
0.363423,-0.284367
0.367331,-0.274828
0.371239,-0.218208
0.375147,-0.045339
0.379054,0.286881
0.382962,0.749338
0.386870,1.225865
0.390778,1.547863
0.394685,1.566896
0.398593,1.228001
0.402501,0.602338
0.406409,-0.140329
0.410317,-0.804511
0.414224,-1.247519
0.418132,-1.423809
0.422040,-1.378512
0.425948,-1.203570
0.429855,-0.987374
0.433763,-0.784847
0.437671,-0.615928
0.441579,-0.481531
0.445487,-0.379499
0.449394,-0.309959
0.453302,-0.271450
0.457210,-0.256173
0.461118,-0.250895
0.465025,-0.243172
0.468933,-0.227515
0.472841,-0.206603
0.476749,-0.187132
0.480657,-0.173987
0.484564,-0.167008
0.488472,-0.161930
0.492380,-0.153864
0.496288,-0.140373
0.500195,-0.122321
0.504103,-0.102646
0.508011,-0.084399
0.511919,-0.069271
0.515826,-0.057057
0.519734,-0.045946
0.523642,-0.033342
0.527550,-0.016970
0.531458,0.004122
0.535365,0.029155
0.539273,0.056097
0.543181,0.082809
0.547089,0.108095
0.550996,0.131957
0.554904,0.155040
0.558812,0.177883
0.562720,0.200723
0.566628,0.223895
0.570535,0.248251
0.574443,0.274859
0.578351,0.303912
0.582259,0.333636
0.586166,0.360298
0.590074,0.379737
0.593982,0.389572
0.597890,0.390547
0.601798,0.385985
0.605705,0.379747
0.609613,0.374116
0.613521,0.368954
0.617429,0.362454
0.621336,0.352735
0.625244,0.339133
0.629152,0.322466
0.633060,0.304318
0.636968,0.285932
0.640875,0.267323
0.644783,0.246985
0.648691,0.222274
0.652599,0.190412
0.656506,0.149877
0.660414,0.101626
0.664322,0.049387
0.668230,-0.001497
0.672138,-0.046336
0.676045,-0.083290
0.679953,-0.114102
0.683861,-0.142768
0.687769,-0.172866
0.691676,-0.205181
0.695584,-0.237179
0.699492,-0.264653
0.703400,-0.284381
0.707308,-0.295999
0.711215,-0.301854
0.715123,-0.305123
0.719031,-0.307682
0.722939,-0.309341
0.726846,-0.308863
0.730754,-0.305691
0.734662,-0.300787
0.738570,-0.295867
0.742478,-0.291802
0.746385,-0.287772
0.750293,-0.282084
0.754201,-0.274068
0.758109,-0.265332
0.762016,-0.259071
0.765924,-0.257721
0.769832,-0.260827
0.773740,-0.265004
0.777648,-0.266253
0.781555,-0.262901
0.785463,-0.256868
0.789371,-0.252253
0.793279,-0.252370
0.797186,-0.257503
0.801094,-0.264943
0.805002,-0.271102
0.808910,-0.274004
0.812818,-0.274433
0.816725,-0.275057
0.820633,-0.278345
0.824541,-0.284800
0.828449,-0.292700
0.832356,-0.299391
0.836264,-0.303135
0.840172,-0.304192
0.844080,-0.304423
0.847987,-0.305782
0.851895,-0.308809
0.855803,-0.312228
0.859711,-0.313901
0.863619,-0.312385
0.867526,-0.307974
0.871434,-0.302502
0.875342,-0.298084
0.879250,-0.295669
0.883157,-0.294353
0.887065,-0.291867
0.890973,-0.285959
0.894881,-0.275938
0.898789,-0.263510
0.902696,-0.252393
0.906604,-0.246743
0.910512,-0.249120
