time,ecg
0.000000,-0.279119
0.003908,-0.292871
0.007816,-0.308285
0.011723,-0.324761
0.015631,-0.339452
0.019539,-0.349632
0.023447,-0.355260
0.027354,-0.359463
0.031262,-0.366586
0.035170,-0.379467
0.039078,-0.398053
0.042986,-0.420148
0.046893,-0.443350
0.050801,-0.466529
0.054709,-0.489893
0.058617,-0.513907
0.062524,-0.538161
0.066432,-0.561099
0.070340,-0.580824
0.074248,-0.596342
0.078156,-0.608325
0.082063,-0.618699
0.085971,-0.629190
0.089879,-0.639666
0.093787,-0.647428
0.097694,-0.648119
0.101602,-0.637934
0.105510,-0.615857
0.109418,-0.584427
0.113326,-0.548395
0.117233,-0.512059
0.121141,-0.477038
0.125049,-0.441993
0.128957,-0.404374
0.132864,-0.362824
0.136772,-0.318536
0.140680,-0.274758
0.144588,-0.235030
0.148496,-0.201450
0.152403,-0.173980
0.156311,-0.151000
0.160219,-0.130490
0.164127,-0.111088
0.168034,-0.092508
0.171942,-0.075363
0.175850,-0.060692
0.179758,-0.049464
0.183665,-0.042191
0.187573,-0.038688
0.191481,-0.038054
0.195389,-0.038978
0.199297,-0.040315
0.203204,-0.041673
0.207112,-0.043580
0.211020,-0.047011
0.214928,-0.052510
0.218835,-0.059531
0.222743,-0.066539
0.226651,-0.071890
0.230559,-0.074921
0.234467,-0.076494
0.238374,-0.078558
0.242282,-0.082947
0.246190,-0.090172
0.250098,-0.099009
0.254005,-0.107191
0.257913,-0.112769
0.261821,-0.115198
0.265729,-0.115454
0.269637,-0.115263
0.273544,-0.116129
0.277452,-0.118807
0.281360,-0.123302
0.285268,-0.129052
0.289175,-0.135062
0.293083,-0.140073
0.296991,-0.143010
0.300899,-0.143648
0.304807,-0.143018
0.308714,-0.143012
0.312622,-0.145169
0.316530,-0.149354
0.320438,-0.153410
0.324345,-0.154370
0.328253,-0.150682
0.332161,-0.143928
0.336069,-0.138549
0.339977,-0.139337
0.343884,-0.148188
0.347792,-0.162411
0.351700,-0.175974
0.355608,-0.183023
0.359515,-0.181344
0.363423,-0.173490
0.367331,-0.164930
0.371239,-0.160629
0.375147,-0.162378
0.379054,-0.168464
0.382962,-0.175489
0.386870,-0.180734
0.390778,-0.183407
0.394685,-0.184289
0.398593,-0.184532
0.402501,-0.184791
0.406409,-0.185169
0.410317,-0.185606
0.414224,-0.186042
0.418132,-0.186211
0.422040,-0.185438
0.425948,-0.182918
0.429855,-0.178414
0.433763,-0.172763
0.437671,-0.167583
0.441579,-0.164217
0.445487,-0.162672
0.449394,-0.161523
0.453302,-0.159013
0.457210,-0.154592
0.461118,-0.149611
0.465025,-0.146442
0.468933,-0.146605
0.472841,-0.149389
0.476749,-0.152159
0.480657,-0.152204
0.484564,-0.148730
0.488472,-0.143432
0.492380,-0.139257
0.496288,-0.138355
0.500195,-0.140785
0.504103,-0.144826
0.508011,-0.148460
0.511919,-0.150761
0.515826,-0.152190
0.519734,-0.153756
0.523642,-0.155883
0.527550,-0.157981
0.531458,-0.159050
0.535365,-0.158700
0.539273,-0.157613
0.543181,-0.156925
0.547089,-0.157079
0.550996,-0.157221
0.554904,-0.155844
0.558812,-0.152242
0.562720,-0.147566
0.566628,-0.144493
0.570535,-0.145567
0.574443,-0.151339
0.578351,-0.159630
0.582259,-0.166492
0.586166,-0.168247
0.590074,-0.163345
0.593982,-0.153020
0.597890,-0.140575
0.601798,-0.129883
0.605705,-0.123932
0.609613,-0.123971
0.613521,-0.129362
0.617429,-0.137993
0.621336,-0.146994
0.625244,-0.153587
0.629152,-0.155926
0.633060,-0.153734
0.636968,-0.148445
0.640875,-0.142609
0.644783,-0.138654
0.648691,-0.137532
0.652599,-0.138095
0.656506,-0.137779
0.660414,-0.134387
0.664322,-0.127858
0.668230,-0.120656
0.672138,-0.116209
0.676045,-0.116317
0.679953,-0.119416
0.683861,-0.121231
0.687769,-0.117606
0.691676,-0.107668
0.695584,-0.095074
0.699492,-0.086295
0.703400,-0.086866
0.707308,-0.097914
0.711215,-0.115230
0.715123,-0.131590
0.719031,-0.140942
0.722939,-0.141812
0.726846,-0.137789
0.730754,-0.134859
0.734662,-0.137474
0.738570,-0.145981
0.742478,-0.156958
0.746385,-0.165916
0.750293,-0.170281
0.754201,-0.170571
0.758109,-0.169260
0.762016,-0.168569
0.765924,-0.169025
0.769832,-0.169716
0.773740,-0.169599
0.777648,-0.168484
0.781555,-0.166914
0.785463,-0.165409
0.789371,-0.164053
0.793279,-0.162868
0.797186,-0.162389
0.801094,-0.163461
0.805002,-0.166094
0.808910,-0.168402
0.812818,-0.167117
0.816725,-0.159970
0.820633,-0.148147
0.824541,-0.135893
0.828449,-0.125785
0.832356,-0.111889
0.836264,-0.076294
0.840172,0.005891
0.844080,0.153017
0.847987,0.361712
0.851895,0.600401
0.855803,0.818161
0.859711,0.966085
0.863619,1.019203
0.867526,0.985295
0.871434,0.894661
0.875342,0.777401
0.879250,0.643309
0.883157,0.477866
0.887065,0.256911
0.890973,-0.030131
0.894881,-0.364252
0.898789,-0.698863
0.902696,-0.978640
0.906604,-1.163605
0.910512,-1.244431
0.914420,-1.241565
0.918327,-1.190914
0.922235,-1.125759
0.926143,-1.064649
0.930051,-1.009531
0.933959,-0.952000
0.937866,-0.882162
0.941774,-0.795215
0.945682,-0.693761
0.949590,-0.586464
0.953497,-0.484739
0.957405,-0.398955
0.961313,-0.335339
0.965221,-0.294495
0.969129,-0.272101
0.973036,-0.261434
0.976944,-0.256349
0.980852,-0.253058
0.984760,-0.249955
0.988667,-0.246198
0.992575,-0.240557
0.996483,-0.231532
1.000391,-0.218498
1.004299,-0.202665
1.008206,-0.186946
1.012114,-0.174716
1.016022,-0.168321
1.019930,-0.168172
1.023837,-0.172731
1.027745,-0.179125
1.031653,-0.183967
1.035561,-0.184209
1.039469,-0.178004
1.043376,-0.165513
1.047284,-0.149261
1.051192,-0.133556
1.055100,-0.122844
1.059007,-0.119641
1.062915,-0.123232
1.066823,-0.130091
1.070731,-0.135929
1.074639,-0.138165
1.078546,-0.137232
1.082454,-0.135951
1.086362,-0.137455
1.090270,-0.143083
1.094177,-0.151603
1.098085,-0.160240
1.101993,-0.166707
1.105901,-0.170768
1.109809,-0.174201
1.113716,-0.179264
1.117624,-0.186892
1.121532,-0.196043
1.125440,-0.204698
1.129347,-0.211732
1.133255,-0.218203
1.137163,-0.226956
1.141071,-0.240551
1.144979,-0.258899
1.148886,-0.278470
1.152794,-0.294178
1.156702,-0.303057
1.160610,-0.307124
1.164517,-0.312906
1.168425,-0.327400
1.172333,-0.353048
1.176241,-0.385469
1.180148,-0.415924
1.184056,-0.437077
1.187964,-0.448014
1.191872,-0.454822
1.195780,-0.466084
1.199687,-0.486392
1.203595,-0.512551
1.207503,-0.535300
1.211411,-0.545322
1.215318,-0.539164
1.219226,-0.520822
1.223134,-0.498104
1.227042,-0.476768
1.230950,-0.456849
1.234857,-0.433751
1.238765,-0.402940
1.242673,-0.364457
1.246581,-0.323685
1.250488,-0.287764
1.254396,-0.260436
1.258304,-0.239350
1.262212,-0.217961
1.266120,-0.190623
1.270027,-0.157069
1.273935,-0.122935
1.277843,-0.095998
1.281751,-0.080940
1.285658,-0.076394
1.289566,-0.076242
1.293474,-0.073929
1.297382,-0.066486
1.301290,-0.055440
1.305197,-0.044393
1.309105,-0.035544
1.313013,-0.028024
1.316921,-0.019246
1.320828,-0.007975
1.324736,0.003500
1.328644,0.010068
1.332552,0.007106
1.336460,-0.005909
1.340367,-0.024221
1.344275,-0.040158
1.348183,-0.047628
1.352091,-0.045764
1.355998,-0.039273
1.359906,-0.035352
1.363814,-0.039273
1.367722,-0.051435
1.371630,-0.067403
1.375537,-0.080496
1.379445,-0.085147
1.383353,-0.079326
1.387261,-0.065245
1.391168,-0.048438
1.395076,-0.035760
1.398984,-0.032813
1.402892,-0.041490
1.406800,-0.058595
1.410707,-0.076590
1.414615,-0.086774
1.418523,-0.083716
1.422431,-0.068558
1.426338,-0.048946
1.430246,-0.035165
1.434154,-0.034506
1.438062,-0.047225
1.441970,-0.066573
1.445877,-0.082808
1.449785,-0.088645
1.453693,-0.082852
1.457601,-0.070120
1.461508,-0.057732
1.465416,-0.051405
1.469324,-0.052735
1.473232,-0.059293
1.477140,-0.066684
1.481047,-0.070987
1.484955,-0.070346
1.488863,-0.065293
1.492771,-0.058107
1.496678,-0.051649
1.500586,-0.048065
1.504494,-0.047760
1.508402,-0.049115
1.512309,-0.049290
1.516217,-0.045911
1.520125,-0.038727
1.524033,-0.030137
1.527941,-0.024007
1.531848,-0.023368
1.535756,-0.028339
1.539664,-0.035667
1.543572,-0.040331
1.547479,-0.038397
1.551387,-0.029451
1.555295,-0.017071
1.559203,-0.006967
1.563111,-0.003891
1.567018,-0.009170
1.570926,-0.020277
1.574834,-0.032497
1.578742,-0.041541
1.582649,-0.045533
1.586557,-0.045373
1.590465,-0.043550
1.594373,-0.042326
1.598281,-0.042471
1.602188,-0.043222
1.606096,-0.043360
1.610004,-0.042531
1.613912,-0.041862
1.617819,-0.043383
1.621727,-0.048619
1.625635,-0.057262
1.629543,-0.066809
1.633451,-0.073462
1.637358,-0.073857
1.641266,-0.066785
1.645174,-0.054006
1.649082,-0.039700
1.652989,-0.028627
1.656897,-0.023860
1.660805,-0.025340
1.664713,-0.030225
1.668621,-0.034889
1.672528,-0.037254
1.676436,-0.037827
1.680344,-0.038766
1.684252,-0.041783
1.688159,-0.046540
1.692067,-0.050744
1.695975,-0.051851
1.699883,-0.049131
1.703791,-0.044563
1.707698,-0.041846
1.711606,-0.044039
1.715514,-0.051348
1.719422,-0.060567
1.723329,-0.066688
1.727237,-0.065741
1.731145,-0.057152
1.735053,-0.044155
1.738961,-0.032069
1.742868,-0.025537
1.746776,-0.026321
1.750684,-0.032786
1.754592,-0.041122
1.758499,-0.047489
1.762407,-0.049949
1.766315,-0.049310
1.770223,-0.048488
1.774131,-0.050629
1.778038,-0.056862
1.781946,-0.065008
1.785854,-0.070275
1.789762,-0.067869
1.793669,-0.056103
1.797577,-0.038037
1.801485,-0.020402
1.805393,-0.010248
1.809301,-0.011239
1.813208,-0.021789
1.817116,-0.036113
1.821024,-0.047495
1.824932,-0.051848
1.828839,-0.049563
1.832747,-0.044771
1.836655,-0.042599
1.840563,-0.046052
1.844470,-0.054292
1.848378,-0.063280
1.852286,-0.068412
1.856194,-0.067559
1.860102,-0.062585
1.864009,-0.058292
1.867917,-0.059350
1.871825,-0.067148
1.875733,-0.078638
1.879640,-0.088071
1.883548,-0.090594
1.887456,-0.085401
1.891364,-0.076261
1.895272,-0.068964
1.899179,-0.067410
1.903087,-0.071138
1.906995,-0.076104
1.910903,-0.078047
1.914810,-0.075736
1.918718,-0.071523
1.922626,-0.068903
1.926534,-0.069390
1.930442,-0.071507
1.934349,-0.072620
1.938257,-0.071306
1.942165,-0.066928
1.946073,-0.055495
1.949980,-0.025017
1.953888,0.044165
1.957796,0.170953
1.961704,0.359935
1.965612,0.591086
1.969519,0.821141
1.973427,0.998479
1.977335,1.084269
1.981243,1.067497
1.985150,0.964695
1.989058,0.804995
1.992966,0.611034
1.996874,0.388836
2.000782,0.133157
2.004689,-0.156554
2.008597,-0.462200
2.012505,-0.746283
2.016413,-0.966110
2.020320,-1.094016
2.024228,-1.130460
2.028136,-1.101805
2.032044,-1.044891
2.035952,-0.988609
2.039859,-0.943336
2.043767,-0.902622
2.047675,-0.853281
2.051583,-0.785909
2.055490,-0.699734
2.059398,-0.601161
2.063306,-0.499473
2.067214,-0.403507
2.071122,-0.320450
2.075029,-0.255518
2.078937,-0.211037
2.082845,-0.185118
2.086753,-0.171516
2.090660,-0.161759
2.094568,-0.148819
2.098476,-0.130070
2.102384,-0.107666
2.106292,-0.086388
2.110199,-0.070751
2.114107,-0.063211
2.118015,-0.063898
2.121923,-0.070996
2.125830,-0.080974
2.129738,-0.088959
2.133646,-0.090163
2.137554,-0.082441
2.141462,-0.068354
2.145369,-0.054548
