time,ecg
0.000000,-0.347991
0.003908,-0.305153
0.007816,-0.271415
0.011723,-0.250539
0.015631,-0.239300
0.019539,-0.230468
0.023447,-0.217983
0.027354,-0.200637
0.031262,-0.182027
0.035170,-0.167381
0.039078,-0.159808
0.042986,-0.158495
0.046893,-0.159660
0.050801,-0.159193
0.054709,-0.155069
0.058617,-0.148063
0.062524,-0.140603
0.066432,-0.134811
0.070340,-0.131144
0.074248,-0.128507
0.078156,-0.125531
0.082063,-0.121896
0.085971,-0.118606
0.089879,-0.117039
0.093787,-0.117568
0.097694,-0.118942
0.101602,-0.119019
0.105510,-0.116345
0.109418,-0.111347
0.113326,-0.106104
0.117233,-0.102752
0.121141,-0.101752
0.125049,-0.101512
0.128957,-0.099883
0.132864,-0.096496
0.136772,-0.093927
0.140680,-0.096301
0.144588,-0.105986
0.148496,-0.120960
0.152403,-0.135494
0.156311,-0.144333
0.160219,-0.147434
0.164127,-0.151090
0.168034,-0.163715
0.171942,-0.188942
0.175850,-0.221512
0.179758,-0.249976
0.183665,-0.265011
0.187573,-0.267268
0.191481,-0.268201
0.195389,-0.282282
0.199297,-0.315805
0.203204,-0.360860
0.207112,-0.399874
0.211020,-0.418390
0.214928,-0.417069
0.218835,-0.413598
0.222743,-0.431907
0.226651,-0.485264
0.230559,-0.564816
0.234467,-0.641955
0.238374,-0.683570
0.242282,-0.670352
0.246190,-0.606294
0.250098,-0.513823
0.254005,-0.419044
0.257913,-0.337926
0.261821,-0.272512
0.265729,-0.218031
0.269637,-0.173488
0.273544,-0.146168
0.277452,-0.145951
0.281360,-0.174089
0.285268,-0.216228
0.289175,-0.246776
0.293083,-0.243048
0.296991,-0.199629
0.300899,-0.132507
0.304807,-0.069757
0.308714,-0.035400
0.312622,-0.037680
0.316530,-0.068743
0.320438,-0.113265
0.324345,-0.157114
0.328253,-0.189162
0.332161,-0.197789
0.336069,-0.170244
0.339977,-0.100774
0.343884,-0.003432
0.347792,0.083294
0.351700,0.110605
0.355608,0.048913
0.359515,-0.086043
0.363423,-0.232168
0.367331,-0.311895
0.371239,-0.278474
0.375147,-0.147116
0.379054,0.011904
0.382962,0.115680
0.386870,0.119093
0.390778,0.039751
0.394685,-0.058118
0.398593,-0.107893
0.402501,-0.081754
0.406409,-0.002416
0.410317,0.078498
0.414224,0.116610
0.418132,0.099776
0.422040,0.048032
0.425948,-0.006212
0.429855,-0.040476
0.433763,-0.052129
0.437671,-0.052970
0.441579,-0.056506
0.445487,-0.068367
0.449394,-0.084831
0.453302,-0.097453
0.457210,-0.098880
0.461118,-0.086699
0.465025,-0.064897
0.468933,-0.043274
0.472841,-0.034313
0.476749,-0.047122
0.480657,-0.080487
0.484564,-0.119730
0.488472,-0.141616
0.492380,-0.126720
0.496288,-0.072510
0.500195,0.001945
0.504103,0.064448
0.508011,0.087357
0.511919,0.063680
0.515826,0.011085
0.519734,-0.038879
0.523642,-0.059281
0.527550,-0.042147
0.531458,-0.000152
0.535365,0.043917
0.539273,0.071699
0.543181,0.077979
0.547089,0.069173
0.550996,0.054945
0.554904,0.040633
0.558812,0.026159
0.562720,0.010862
0.566628,-0.001405
0.570535,-0.002471
0.574443,0.014009
0.578351,0.045369
0.582259,0.078269
0.586166,0.095237
0.590074,0.085703
0.593982,0.053838
0.597890,0.017271
0.601798,-0.002908
0.605705,0.005699
0.609613,0.040370
0.613521,0.086210
0.617429,0.125629
0.621336,0.147561
0.625244,0.150896
0.629152,0.141447
0.633060,0.126230
0.636968,0.109756
0.640875,0.094149
0.644783,0.081367
0.648691,0.074345
0.652599,0.075602
0.656506,0.084683
0.660414,0.097136
0.664322,0.106546
0.668230,0.108464
0.672138,0.103415
0.676045,0.096662
0.679953,0.094747
0.683861,0.101102
0.687769,0.113638
0.691676,0.125886
0.695584,0.131030
0.699492,0.126392
0.703400,0.115761
0.707308,0.108054
0.711215,0.112801
0.715123,0.134636
0.719031,0.169719
0.722939,0.206273
0.726846,0.229373
0.730754,0.227852
0.734662,0.199906
0.738570,0.154489
0.742478,0.107646
0.746385,0.075484
0.750293,0.067226
0.754201,0.081668
0.758109,0.108539
0.762016,0.133765
0.765924,0.145775
0.769832,0.139752
0.773740,0.118165
0.777648,0.088058
0.781555,0.057197
0.785463,0.031319
0.789371,0.013422
0.793279,0.004506
0.797186,0.004387
0.801094,0.011775
0.805002,0.023916
0.808910,0.036830
0.812818,0.046780
0.816725,0.052387
0.820633,0.055803
0.824541,0.061624
0.828449,0.073770
0.832356,0.092276
0.836264,0.112328
0.840172,0.126489
0.844080,0.128814
0.847987,0.118166
0.851895,0.098596
0.855803,0.076658
0.859711,0.057594
0.863619,0.042970
0.867526,0.031358
0.871434,0.021597
0.875342,0.016585
0.879250,0.025259
0.883157,0.061519
0.887065,0.140344
0.890973,0.272350
0.894881,0.458389
0.898789,0.685936
0.902696,0.928956
0.906604,1.152490
0.910512,1.321419
0.914420,1.410478
0.918327,1.410925
0.922235,1.330161
0.926143,1.184256
0.930051,0.987694
0.933959,0.746825
0.937866,0.461573
0.941774,0.134764
0.945682,-0.216837
0.949590,-0.557597
0.953497,-0.839195
0.957405,-1.016661
0.961313,-1.066966
0.965221,-1.000606
0.969129,-0.859661
0.973036,-0.702467
0.976944,-0.581627
0.980852,-0.525088
0.984760,-0.528245
0.988667,-0.559837
0.992575,-0.578327
0.996483,-0.551148
1.000391,-0.468352
1.004299,-0.345174
1.008206,-0.213317
1.012114,-0.105940
1.016022,-0.043743
1.019930,-0.028247
1.023837,-0.044271
1.027745,-0.069033
1.031653,-0.082675
1.035561,-0.075345
1.039469,-0.048545
1.043376,-0.011541
1.047284,0.024378
1.051192,0.050749
1.055100,0.064031
1.059007,0.064861
1.062915,0.055873
1.066823,0.039884
1.070731,0.019526
1.074639,-0.001949
1.078546,-0.019994
1.082454,-0.029493
1.086362,-0.026952
1.090270,-0.012845
1.094177,0.007724
1.098085,0.027011
1.101993,0.038556
1.105901,0.040800
1.109809,0.037953
1.113716,0.037173
1.117624,0.043613
1.121532,0.056584
1.125440,0.069680
1.129347,0.075042
1.133255,0.068897
1.137163,0.054408
1.141071,0.039611
1.144979,0.031740
1.148886,0.031958
1.152794,0.034412
1.156702,0.030472
1.160610,0.015279
1.164517,-0.008148
1.168425,-0.030360
1.172333,-0.041676
1.176241,-0.038895
1.180148,-0.027800
1.184056,-0.019645
1.187964,-0.024016
1.191872,-0.043009
1.195780,-0.070785
1.199687,-0.098662
1.203595,-0.121823
1.207503,-0.142522
1.211411,-0.167352
1.215318,-0.200714
1.219226,-0.239575
1.223134,-0.273769
1.227042,-0.292099
1.230950,-0.290257
1.234857,-0.274978
1.238765,-0.261167
1.242673,-0.263389
1.246581,-0.287046
1.250488,-0.324852
1.254396,-0.360767
1.258304,-0.378738
1.262212,-0.370815
1.266120,-0.340136
1.270027,-0.297838
1.273935,-0.256485
1.277843,-0.224030
1.281751,-0.201135
1.285658,-0.182413
1.289566,-0.160246
1.293474,-0.129191
1.297382,-0.089191
1.301290,-0.046380
1.305197,-0.010893
1.309105,0.007903
1.313013,0.006958
1.316921,-0.007142
1.320828,-0.019815
1.324736,-0.015373
1.328644,0.014107
1.332552,0.063383
1.336460,0.116107
1.340367,0.153783
1.344275,0.166300
1.348183,0.157351
1.352091,0.141233
1.355998,0.133191
1.359906,0.139709
1.363814,0.155043
1.367722,0.165941
1.371630,0.161046
1.375537,0.138621
1.379445,0.107811
1.383353,0.083192
1.387261,0.076558
1.391168,0.091032
1.395076,0.120432
1.398984,0.153211
1.402892,0.177939
1.406800,0.187341
1.410707,0.179672
1.414615,0.157996
1.418523,0.128558
1.422431,0.098997
1.426338,0.076539
1.430246,0.066245
1.434154,0.069703
1.438062,0.084772
1.441970,0.106536
1.445877,0.129018
1.449785,0.146834
1.453693,0.156315
1.457601,0.156054
1.461508,0.147108
1.465416,0.132861
1.469324,0.118268
1.473232,0.108292
1.477140,0.105868
1.481047,0.110439
1.484955,0.118129
1.488863,0.123816
1.492771,0.123978
1.496678,0.118489
1.500586,0.110121
1.504494,0.102171
1.508402,0.096083
1.512309,0.090979
1.516217,0.085473
1.520125,0.080076
1.524033,0.077797
1.527941,0.081951
1.531848,0.092719
1.535756,0.105496
1.539664,0.113021
1.543572,0.110276
1.547479,0.098518
1.551387,0.084987
1.555295,0.077936
1.559203,0.080421
1.563111,0.087694
1.567018,0.090624
1.570926,0.082921
1.574834,0.066731
1.578742,0.052051
1.582649,0.050072
1.586557,0.065237
1.590465,0.091837
1.594373,0.117524
1.598281,0.130953
1.602188,0.128084
1.606096,0.113199
1.610004,0.094922
1.613912,0.080907
1.617819,0.074871
1.621727,0.076906
1.625635,0.085212
1.629543,0.096933
1.633451,0.107780
1.637358,0.112140
1.641266,0.105263
1.645174,0.086793
1.649082,0.062793
1.652989,0.043741
1.656897,0.038924
1.660805,0.050797
1.664713,0.073382
1.668621,0.096077
1.672528,0.110274
1.676436,0.114229
1.680344,0.112998
1.684252,0.113907
1.688159,0.121113
1.692067,0.133123
1.695975,0.144609
1.699883,0.150637
1.703791,0.150020
1.707698,0.145624
1.711606,0.141971
1.715514,0.142259
1.719422,0.146761
1.723329,0.153214
1.727237,0.158411
1.731145,0.159791
1.735053,0.156358
1.738961,0.148897
1.742868,0.139739
1.746776,0.132055
1.750684,0.128586
1.754592,0.130105
1.758499,0.134574
1.762407,0.137978
1.766315,0.136768
1.770223,0.130375
1.774131,0.121748
1.778038,0.115067
1.781946,0.112040
1.785854,0.109774
1.789762,0.102454
1.793669,0.086177
1.797577,0.063433
1.801485,0.043366
1.805393,0.036810
1.809301,0.049087
1.813208,0.075573
1.817116,0.103424
1.821024,0.118564
1.824932,0.113406
1.828839,0.090442
1.832747,0.059883
1.836655,0.033515
1.840563,0.018793
1.844470,0.016180
1.848378,0.020282
1.852286,0.023637
1.856194,0.021813
1.860102,0.018557
1.864009,0.029081
1.867917,0.078516
1.871825,0.193181
1.875733,0.386103
1.879640,0.643771
1.883548,0.923814
1.887456,1.169276
