time,ecg
0.000000,-0.317179
0.003908,-0.297884
0.007816,-0.283045
0.011723,-0.275579
0.015631,-0.275578
0.019539,-0.279920
0.023447,-0.283405
0.027354,-0.281309
0.031262,-0.272078
0.035170,-0.258471
0.039078,-0.246262
0.042986,-0.241123
0.046893,-0.245516
0.050801,-0.257385
0.054709,-0.271411
0.058617,-0.282052
0.062524,-0.286603
0.066432,-0.286415
0.070340,-0.285577
0.074248,-0.287952
0.078156,-0.294608
0.082063,-0.303422
0.085971,-0.311122
0.089879,-0.316116
0.093787,-0.319815
0.097694,-0.325242
0.101602,-0.333973
0.105510,-0.344062
0.109418,-0.351032
0.113326,-0.351504
0.117233,-0.346492
0.121141,-0.341169
0.125049,-0.340716
0.128957,-0.345483
0.132864,-0.349909
0.136772,-0.346922
0.140680,-0.334580
0.144588,-0.319053
0.148496,-0.310353
0.152403,-0.313573
0.156311,-0.323205
0.160219,-0.326608
0.164127,-0.314786
0.168034,-0.290682
0.171942,-0.264776
0.175850,-0.237505
0.179758,-0.181393
0.183665,-0.041546
0.187573,0.236090
0.191481,0.659707
0.195389,1.158258
0.199297,1.587874
0.203204,1.784829
0.207112,1.641574
0.211020,1.164035
0.214928,0.475996
0.218835,-0.233471
0.222743,-0.790505
0.226651,-1.101398
0.230559,-1.171092
0.234467,-1.074122
0.238374,-0.903188
0.242282,-0.727403
0.246190,-0.578484
0.250098,-0.461495
0.254005,-0.373130
0.257913,-0.312084
0.261821,-0.277938
0.265729,-0.265618
0.269637,-0.264103
0.273544,-0.261578
0.277452,-0.252222
0.281360,-0.238389
0.285268,-0.226555
0.289175,-0.220883
0.293083,-0.219884
0.296991,-0.218372
0.300899,-0.212234
0.304807,-0.201575
0.308714,-0.189823
0.312622,-0.180144
0.316530,-0.172629
0.320438,-0.164552
0.324345,-0.153038
0.328253,-0.137493
0.332161,-0.119658
0.336069,-0.101566
0.339977,-0.083508
0.343884,-0.063884
0.347792,-0.040970
0.351700,-0.014811
0.355608,0.012542
0.359515,0.038673
0.363423,0.062854
0.367331,0.086749
0.371239,0.113234
0.375147,0.144380
0.379054,0.180164
0.382962,0.218685
0.386870,0.257452
0.390778,0.294570
0.394685,0.329042
0.398593,0.360221
0.402501,0.387161
0.406409,0.408545
0.410317,0.423315
0.414224,0.431459
0.418132,0.434241
0.422040,0.433568
0.425948,0.430873
0.429855,0.426279
0.433763,0.418597
0.437671,0.406100
0.441579,0.387477
0.445487,0.362337
0.449394,0.331096
0.453302,0.294572
0.457210,0.253789
0.461118,0.210119
0.465025,0.165429
0.468933,0.121744
0.472841,0.080435
0.476749,0.041475
0.480657,0.003475
0.484564,-0.035353
0.488472,-0.075899
0.492380,-0.117337
0.496288,-0.157293
0.500195,-0.192798
0.504103,-0.221486
0.508011,-0.242490
0.511919,-0.256739
0.515826,-0.266617
0.519734,-0.275025
0.523642,-0.284192
0.527550,-0.294736
0.531458,-0.305559
0.535365,-0.314721
0.539273,-0.320831
0.543181,-0.324043
0.547089,-0.325936
0.550996,-0.328287
0.554904,-0.331598
0.558812,-0.334520
0.562720,-0.334724
0.566628,-0.330638
0.570535,-0.322785
0.574443,-0.313682
0.578351,-0.306308
0.582259,-0.302184
0.586166,-0.300431
0.590074,-0.298461
0.593982,-0.293782
0.597890,-0.285642
0.601798,-0.275399
0.605705,-0.265466
0.609613,-0.257684
0.613521,-0.252292
0.617429,-0.248196
0.621336,-0.244203
0.625244,-0.240207
0.629152,-0.237388
0.633060,-0.237249
0.636968,-0.240263
0.640875,-0.245209
0.644783,-0.249733
0.648691,-0.251765
0.652599,-0.250821
0.656506,-0.248344
0.660414,-0.246850
0.664322,-0.248373
0.668230,-0.253126
0.672138,-0.259229
0.676045,-0.263742
0.679953,-0.264380
0.683861,-0.260804
0.687769,-0.254637
0.691676,-0.248213
0.695584,-0.242913
0.699492,-0.238163
0.703400,-0.231791
0.707308,-0.221616
0.711215,-0.207394
0.715123,-0.191906
0.719031,-0.180278
0.722939,-0.177675
0.726846,-0.186562
0.730754,-0.205127
0.734662,-0.227854
0.738570,-0.248019
0.742478,-0.260822
0.746385,-0.265499
0.750293,-0.265250
0.754201,-0.265000
0.758109,-0.268317
0.762016,-0.275435
0.765924,-0.283713
0.769832,-0.290145
0.773740,-0.293977
0.777648,-0.297278
0.781555,-0.302850
0.785463,-0.311127
0.789371,-0.318876
0.793279,-0.321268
0.797186,-0.316028
0.801094,-0.306134
0.805002,-0.298225
0.808910,-0.297331
0.812818,-0.302098
0.816725,-0.305036
0.820633,-0.298614
0.824541,-0.282691
0.828449,-0.266604
0.832356,-0.262728
0.836264,-0.275695
0.840172,-0.296384
0.844080,-0.307299
0.847987,-0.296452
0.851895,-0.267860
0.855803,-0.236735
0.859711,-0.208737
0.863619,-0.158018
0.867526,-0.025484
0.871434,0.251342
0.875342,0.688188
0.879250,1.214863
0.883157,1.678988
0.887065,1.901702
0.890973,1.761093
0.894881,1.257649
0.898789,0.522694
