time,ecg
0.000000,-0.208842
0.003908,-0.208665
0.007816,-0.210046
0.011723,-0.212269
0.015631,-0.211952
0.019539,-0.205014
0.023447,-0.189626
0.027354,-0.167949
0.031262,-0.145281
0.035170,-0.127154
0.039078,-0.116324
0.042986,-0.111584
0.046893,-0.108973
0.050801,-0.104479
0.054709,-0.096554
0.058617,-0.087086
0.062524,-0.080412
0.066432,-0.081015
0.070340,-0.091104
0.074248,-0.109258
0.078156,-0.130806
0.082063,-0.149812
0.085971,-0.161755
0.089879,-0.165509
0.093787,-0.163432
0.097694,-0.159374
0.101602,-0.155788
0.105510,-0.151978
0.109418,-0.144899
0.113326,-0.132102
0.117233,-0.114634
0.121141,-0.097544
0.125049,-0.087275
0.128957,-0.087636
0.132864,-0.097243
0.136772,-0.110444
0.140680,-0.121191
0.144588,-0.127015
0.148496,-0.130081
0.152403,-0.134505
0.156311,-0.142067
0.160219,-0.149807
0.164127,-0.151510
0.168034,-0.142029
0.171942,-0.121144
0.175850,-0.094091
0.179758,-0.068596
0.183665,-0.050931
0.187573,-0.043820
0.191481,-0.046823
0.195389,-0.057021
0.199297,-0.067454
0.203204,-0.063568
0.207112,-0.021671
0.211020,0.085683
0.214928,0.276462
0.218835,0.543915
0.222743,0.849561
0.226651,1.132152
0.230559,1.331095
0.234467,1.412460
0.238374,1.381899
0.242282,1.275640
0.246190,1.134583
0.250098,0.978010
0.254005,0.794191
0.257913,0.554038
0.261821,0.238570
0.265729,-0.138249
0.269637,-0.526555
0.273544,-0.859676
0.277452,-1.083546
0.281360,-1.179142
0.285268,-1.166303
0.289175,-1.089400
0.293083,-0.995379
0.296991,-0.916595
0.300899,-0.864964
0.304807,-0.835889
0.308714,-0.816001
0.312622,-0.789826
0.316530,-0.744246
0.320438,-0.671963
0.324345,-0.574441
0.328253,-0.462760
0.332161,-0.354383
0.336069,-0.266138
0.339977,-0.206944
0.343884,-0.174775
0.347792,-0.159890
0.351700,-0.152080
0.355608,-0.146984
0.359515,-0.147393
0.363423,-0.159219
0.367331,-0.185521
0.371239,-0.222958
0.375147,-0.262885
0.379054,-0.295815
0.382962,-0.315893
0.386870,-0.322589
0.390778,-0.319158
0.394685,-0.309638
0.398593,-0.296665
0.402501,-0.281295
0.406409,-0.264305
0.410317,-0.247433
0.414224,-0.233227
0.418132,-0.223352
0.422040,-0.216555
0.425948,-0.208053
0.429855,-0.191377
0.433763,-0.162102
0.437671,-0.121328
0.441579,-0.076571
0.445487,-0.039043
0.449394,-0.018521
0.453302,-0.018604
0.457210,-0.035103
0.461118,-0.058407
0.465025,-0.078355
0.468933,-0.088694
0.472841,-0.088802
0.476749,-0.082255
0.480657,-0.073795
0.484564,-0.066859
0.488472,-0.062865
0.492380,-0.061961
0.496288,-0.064070
0.500195,-0.069349
0.504103,-0.077971
0.508011,-0.089770
0.511919,-0.104193
0.515826,-0.120598
0.519734,-0.138585
0.523642,-0.158071
0.527550,-0.179062
0.531458,-0.201358
0.535365,-0.224408
0.539273,-0.247443
0.543181,-0.269736
0.547089,-0.290685
0.550996,-0.309531
0.554904,-0.324925
0.558812,-0.334867
0.562720,-0.337370
0.566628,-0.331542
0.570535,-0.318261
0.574443,-0.299830
0.578351,-0.278841
0.582259,-0.257131
0.586166,-0.235541
0.590074,-0.214440
0.593982,-0.194369
0.597890,-0.176234
0.601798,-0.160966
0.605705,-0.148993
0.609613,-0.139957
0.613521,-0.132881
0.617429,-0.126644
0.621336,-0.120426
0.625244,-0.113814
0.629152,-0.106601
0.633060,-0.098632
0.636968,-0.089954
0.640875,-0.081149
0.644783,-0.073343
0.648691,-0.067586
0.652599,-0.063900
0.656506,-0.060832
0.660414,-0.056134
0.664322,-0.048364
0.668230,-0.038316
0.672138,-0.029043
0.676045,-0.024189
0.679953,-0.025575
0.683861,-0.031769
0.687769,-0.038764
0.691676,-0.042494
0.695584,-0.041495
0.699492,-0.037879
0.703400,-0.035876
0.707308,-0.038942
0.711215,-0.047429
0.715123,-0.058442
0.719031,-0.067891
0.722939,-0.073236
0.726846,-0.075021
0.730754,-0.076287
0.734662,-0.080414
0.738570,-0.088980
0.742478,-0.100939
0.746385,-0.113381
0.750293,-0.123089
0.754201,-0.127867
0.758109,-0.127120
0.762016,-0.121837
0.765924,-0.114326
0.769832,-0.107701
0.773740,-0.104938
0.777648,-0.107499
0.781555,-0.114174
0.785463,-0.121113
0.789371,-0.123449
0.793279,-0.117845
0.797186,-0.104462
0.801094,-0.087050
0.805002,-0.071012
0.808910,-0.060605
0.812818,-0.056973
0.816725,-0.058191
0.820633,-0.061117
0.824541,-0.063612
0.828449,-0.065458
0.832356,-0.067420
0.836264,-0.069446
0.840172,-0.069758
0.844080,-0.065772
0.847987,-0.056140
0.851895,-0.042205
0.855803,-0.027561
0.859711,-0.015994
0.863619,-0.009365
0.867526,-0.007007
0.871434,-0.006922
0.875342,-0.007678
0.879250,-0.009435
0.883157,-0.013435
0.887065,-0.020548
0.890973,-0.030226
0.894881,-0.040799
0.898789,-0.050833
0.902696,-0.060359
0.906604,-0.070840
0.910512,-0.083786
0.914420,-0.099074
0.918327,-0.114398
0.922235,-0.126427
0.926143,-0.132935
0.930051,-0.134308
0.933959,-0.133282
0.937866,-0.133156
0.941774,-0.135885
0.945682,-0.141431
0.949590,-0.148615
0.953497,-0.156521
0.957405,-0.165246
0.961313,-0.175438
0.965221,-0.187107
0.969129,-0.198731
0.973036,-0.207492
0.976944,-0.210702
0.980852,-0.207560
0.984760,-0.199970
0.988667,-0.191608
0.992575,-0.185638
0.996483,-0.182564
1.000391,-0.179898
1.004299,-0.174062
1.008206,-0.163072
1.012114,-0.147204
1.016022,-0.125792
1.019930,-0.091356
1.023837,-0.025845
1.027745,0.095557
1.031653,0.291479
1.035561,0.557853
1.039469,0.858812
1.043376,1.134452
1.047284,1.325426
1.051192,1.402160
1.055100,1.380264
1.059007,1.309642
1.062915,1.240944
1.066823,1.189218
1.070731,1.119107
1.074639,0.963890
1.078546,0.668914
1.082454,0.233094
1.086362,-0.278034
1.090270,-0.757006
1.094177,-1.102878
1.098085,-1.265371
1.101993,-1.260711
1.105901,-1.153653
1.109809,-1.020178
1.113716,-0.913905
1.117624,-0.852484
1.121532,-0.825019
1.125440,-0.809385
1.129347,-0.786512
1.133255,-0.745667
1.137163,-0.683192
1.141071,-0.600436
1.144979,-0.503821
1.148886,-0.405336
1.152794,-0.320097
1.156702,-0.260299
1.160610,-0.228976
1.164517,-0.218310
1.168425,-0.214332
1.172333,-0.205110
1.176241,-0.186877
1.180148,-0.164237
1.184056,-0.145021
1.187964,-0.133970
1.191872,-0.129748
1.195780,-0.126838
1.199687,-0.120237
1.203595,-0.109166
1.207503,-0.097184
1.211411,-0.089040
1.215318,-0.086877
1.219226,-0.088580
1.223134,-0.089260
1.227042,-0.084587
1.230950,-0.073571
1.234857,-0.058995
1.238765,-0.045457
1.242673,-0.036514
1.246581,-0.032768
1.250488,-0.031919
1.254396,-0.030529
1.258304,-0.026242
1.262212,-0.019112
1.266120,-0.011296
1.270027,-0.005453
1.273935,-0.002963
1.277843,-0.003126
1.281751,-0.003818
1.285658,-0.003120
1.289566,-0.000872
1.293474,0.000842
1.297382,-0.001394
1.301290,-0.010505
1.305197,-0.027212
1.309105,-0.049389
1.313013,-0.072849
1.316921,-0.093192
1.320828,-0.107853
1.324736,-0.117351
1.328644,-0.125050
1.332552,-0.135407
1.336460,-0.151556
1.340367,-0.173597
1.344275,-0.198684
1.348183,-0.222857
1.352091,-0.243386
1.355998,-0.259926
1.359906,-0.273723
1.363814,-0.285612
1.367722,-0.294573
1.371630,-0.298133
1.375537,-0.294315
1.379445,-0.283454
1.383353,-0.268229
1.387261,-0.251696
1.391168,-0.234833
1.395076,-0.215589
1.398984,-0.190336
1.402892,-0.156799
1.406800,-0.116372
1.410707,-0.074126
1.414615,-0.036406
1.418523,-0.007676
1.422431,0.011209
1.426338,0.022188
1.430246,0.027472
