time,ecg
0.000000,-0.229439
0.003908,-0.235335
0.007816,-0.239409
0.011723,-0.240715
0.015631,-0.239706
0.019539,-0.238106
0.023447,-0.237939
0.027354,-0.240016
0.031262,-0.242777
0.035170,-0.242647
0.039078,-0.236320
0.042986,-0.223592
0.046893,-0.207986
0.050801,-0.193012
0.054709,-0.175233
0.058617,-0.139459
0.062524,-0.062691
0.066432,0.070590
0.070340,0.247649
0.074248,0.414596
0.078156,0.484796
0.082063,0.372025
0.085971,0.036045
0.089879,-0.483363
0.093787,-1.066293
0.097694,-1.552710
0.101602,-1.806217
0.105510,-1.770202
0.109418,-1.487561
0.113326,-1.074718
0.117233,-0.665487
0.121141,-0.355390
0.125049,-0.173712
0.128957,-0.092284
0.132864,-0.058759
0.136772,-0.031172
0.140680,0.005139
0.144588,0.042474
0.148496,0.067660
0.152403,0.076247
0.156311,0.075255
0.160219,0.075983
0.164127,0.085039
0.168034,0.100899
0.171942,0.117309
0.175850,0.129344
0.179758,0.136919
0.183665,0.143731
0.187573,0.153603
0.191481,0.167706
0.195389,0.184569
0.199297,0.202090
0.203204,0.219356
0.207112,0.236836
0.211020,0.255266
0.214928,0.274619
0.218835,0.294109
0.222743,0.313021
0.226651,0.331403
0.230559,0.349973
0.234467,0.369407
0.238374,0.389717
0.242282,0.410263
0.246190,0.430303
0.250098,0.449519
0.254005,0.468116
0.257913,0.486451
0.261821,0.504489
0.265729,0.521407
0.269637,0.535499
0.273544,0.544483
0.277452,0.546141
0.281360,0.539133
0.285268,0.523603
0.289175,0.501215
0.293083,0.474461
0.296991,0.445521
0.300899,0.415310
0.304807,0.383262
0.308714,0.347979
0.312622,0.308327
0.316530,0.264283
0.320438,0.217054
0.324345,0.168469
0.328253,0.120125
0.332161,0.072861
0.336069,0.026833
0.339977,-0.017935
0.343884,-0.060971
0.347792,-0.101158
0.351700,-0.137084
0.355608,-0.167747
0.359515,-0.193152
0.363423,-0.214352
0.367331,-0.232792
0.371239,-0.249395
0.375147,-0.264034
0.379054,-0.275798
0.382962,-0.283837
0.386870,-0.288173
0.390778,-0.289885
0.394685,-0.290569
0.398593,-0.291420
0.402501,-0.292531
0.406409,-0.292866
0.410317,-0.290901
0.414224,-0.285537
0.418132,-0.276701
0.422040,-0.265307
0.425948,-0.252746
0.429855,-0.240335
